iter	Passed	Remaining
0	1	103
1	2	99
2	3	98
3	3	92
4	4	91
5	5	89
6	6	89
7	7	89
8	8	88
9	9	87
10	10	87
11	11	86
12	12	85
13	13	84
14	14	83
15	15	81
16	16	81
17	17	80
18	18	79
19	19	78
20	20	76
21	21	76
22	22	75
23	23	73
24	24	72
25	25	71
26	26	70
27	27	69
28	28	68
29	29	67
30	30	67
31	31	66
32	32	65
33	32	64
34	34	63
35	35	62
36	35	61
37	37	60
38	38	59
39	39	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	45	50
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	50	45
53	51	44
54	52	42
55	53	41
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
